Value,Feature
1364,num_of_word_70
1293,len_num_of_word_67
1278,1stchar_of_word_74
1101,len_num_of_word_78
1018,num_of_word_81
982,num_of_word_66
946,1stchar_of_word_85
916,len_num_of_word_89
751,num_of_word_92
680,1stchar_of_word_96
636,1stchar_of_word_67
636,num_of_word_67
503,1stchar_of_word_68
501,len_num_of_word_68
452,len_num_of_word_69
428,num_of_word_68
386,1stchar_of_word_69
329,num_of_word_69
328,1stchar_of_word_70
327,len_num_of_word_70
268,len_num_of_word_71
249,1stchar_of_word_71
235,len_num_of_word_72
235,1stchar_of_word_32
233,1stchar_of_word_72
219,num_of_word_71
160,len_num_of_word_73
159,num_of_word_73
154,num_of_word_72
147,1stchar_of_word_73
127,len_num_of_word_74
125,num_of_word_74
114,1stchar_of_word_75
110,1stchar_of_word_33
109,num_of_word_75
108,len_num_of_word_75
89,num_of_word_76
87,1stchar_of_word_76
84,1stchar_of_word_77
84,len_num_of_word_76
82,1stchar_of_word_78
75,len_num_of_word_37
59,num_of_word_40
59,1stchar_of_word_44
58,num_of_word_78
58,num_of_word_32
58,len_num_of_word_79
55,1stchar_of_word_79
55,len_num_of_word_33
55,num_of_word_77
53,len_num_of_word_32
52,len_num_of_word_48
49,len_num_of_word_77
48,num_of_word_79
46,len_num_of_word_80
39,1stchar_of_word_80
35,1stchar_of_word_55
33,num_of_word_51
31,num_of_word_80
30,1stchar_of_word_6
29,len_num_of_word_81
27,1stchar_of_word_81
26,len_num_of_word_82
26,1stchar_of_word_82
25,num_of_word_34
25,1stchar_of_word_17
25,1stchar_of_word_0
24,len_num_of_word_10
24,len_num_of_word_4
23,num_of_word_82
23,num_of_word_62
20,len_num_of_word_87
19,num_of_word_84
19,1stchar_of_word_34
18,len_num_of_word_59
18,1stchar_of_word_83
17,1stchar_of_word_84
17,num_of_word_33
17,len_num_of_word_21
16,num_of_word_85
15,num_of_word_83
15,num_of_word_36
14,len_num_of_word_88
14,len_num_of_word_85
14,1stchar_of_word_36
13,len_num_of_word_36
13,len_num_of_word_90
12,len_num_of_word_34
12,1stchar_of_word_37
11,num_of_word_87
11,len_num_of_word_83
11,len_num_of_word_35
10,num_of_word_13
10,1stchar_of_word_87
10,1stchar_of_word_28
9,len_num_of_word_84
9,num_of_word_35
8,len_num_of_word_39
8,1stchar_of_word_1
8,num_of_word_37
7,len_num_of_word_86
7,1stchar_of_word_38
7,1stchar_of_word_86
7,1stchar_of_word_88
7,len_num_of_word_41
7,num_of_word_0
7,num_of_word_24
7,num_of_word_86
7,num_of_word_90
6,len_num_of_word_3
6,len_num_of_word_0
6,1stchar_of_word_35
5,1stchar_of_word_41
5,1stchar_of_word_66
5,1stchar_of_word_91
5,len_num_of_word_2
5,num_of_word_1
5,len_num_of_word_40
4,len_num_of_word_38
4,1stchar_of_word_2
4,1stchar_of_word_40
4,len_num_of_word_1
4,1stchar_of_word_39
4,num_of_word_38
4,num_of_word_41
4,num_of_word_88
4,num_of_word_89
3,1stchar_of_word_89
3,1stchar_of_word_43
3,1stchar_of_word_42
3,1stchar_of_word_4
2,len_num_of_word_44
2,1stchar_of_word_10
2,1stchar_of_word_45
2,1stchar_of_word_47
2,len_num_of_word_43
2,num_of_word_39
2,len_num_of_word_45
2,num_of_word_2
2,num_of_word_3
2,num_of_word_43
2,num_of_word_44
1,1stchar_of_word_11
1,1stchar_of_word_3
1,1stchar_of_word_5
1,1stchar_of_word_8
1,1stchar_of_word_90
1,cnt_X
1,len_num_of_word_42
1,len_num_of_word_46
1,len_num_of_word_47
1,len_num_of_word_5
1,len_num_of_word_51
1,len_num_of_word_6
1,num_of_word_49
1,num_of_word_9
1,num_of_word_8
1,num_of_word_5
1,len_num_of_word_7
1,num_of_word_47
1,num_of_word_4
1,len_num_of_word_91
1,num_of_word_46
0,1stchar_of_word_99
0,len_num_of_word_14
0,len_num_of_word_13
0,len_num_of_word_12
0,len_num_of_word_11
0,cnt_Z
0,cnt_Y
0,1stchar_of_word_97
0,1stchar_of_word_98
0,1stchar_of_word_95
0,1stchar_of_word_94
0,len_num_of_word_16
0,1stchar_of_word_93
0,1stchar_of_word_92
0,1stchar_of_word_9
0,len_num_of_word_15
0,len_num_of_word_22
0,len_num_of_word_17
0,len_num_of_word_27
0,len_num_of_word_50
0,len_num_of_word_49
0,len_num_of_word_31
0,len_num_of_word_30
0,len_num_of_word_29
0,len_num_of_word_28
0,len_num_of_word_26
0,len_num_of_word_18
0,len_num_of_word_25
0,len_num_of_word_24
0,len_num_of_word_23
0,1stchar_of_word_65
0,len_num_of_word_20
0,len_num_of_word_19
0,1stchar_of_word_7
0,1stchar_of_word_61
0,1stchar_of_word_64
0,1stchar_of_word_21
0,1stchar_of_word_27
0,1stchar_of_word_26
0,1stchar_of_word_25
0,1stchar_of_word_24
0,1stchar_of_word_23
0,1stchar_of_word_22
0,1stchar_of_word_20
0,1stchar_of_word_30
0,1stchar_of_word_19
0,1stchar_of_word_18
0,1stchar_of_word_16
0,1stchar_of_word_15
0,1stchar_of_word_14
0,1stchar_of_word_13
0,1stchar_of_word_29
0,1stchar_of_word_31
0,1stchar_of_word_63
0,1stchar_of_word_56
0,1stchar_of_word_62
0,len_num_of_word_53
0,1stchar_of_word_60
0,1stchar_of_word_59
0,1stchar_of_word_58
0,1stchar_of_word_57
0,1stchar_of_word_54
0,1stchar_of_word_46
0,1stchar_of_word_53
0,1stchar_of_word_52
0,1stchar_of_word_51
0,1stchar_of_word_50
0,1stchar_of_word_49
0,1stchar_of_word_48
0,len_num_of_word_52
0,len_num_of_word_58
0,len_num_of_word_54
0,num_of_word_48
0,num_of_word_56
0,num_of_word_55
0,num_of_word_54
0,num_of_word_53
0,num_of_word_52
0,num_of_word_50
0,num_of_word_45
0,num_of_word_58
0,num_of_word_42
0,num_of_word_31
0,num_of_word_30
0,num_of_word_29
0,num_of_word_28
0,num_of_word_27
0,num_of_word_57
0,num_of_word_59
0,len_num_of_word_55
0,num_of_word_93
0,num_of_word_99
0,num_of_word_98
0,num_of_word_97
0,num_of_word_96
0,num_of_word_95
0,num_of_word_94
0,num_of_word_91
0,num_of_word_6
0,num_of_word_7
0,num_of_word_65
0,num_of_word_64
0,num_of_word_63
0,num_of_word_61
0,num_of_word_60
0,num_of_word_26
0,num_of_word_25
0,num_of_word_23
0,len_num_of_word_65
0,len_num_of_word_94
0,len_num_of_word_93
0,len_num_of_word_92
0,len_num_of_word_9
0,len_num_of_word_8
0,len_num_of_word_66
0,len_num_of_word_64
0,num_of_word_22
0,len_num_of_word_63
0,len_num_of_word_62
0,len_num_of_word_61
0,len_num_of_word_60
0,len_num_of_word_57
0,len_num_of_word_56
0,len_num_of_word_95
0,len_num_of_word_96
0,len_num_of_word_97
0,len_num_of_word_98
0,len_num_of_word_99
0,n_words
0,num_of_word_10
0,num_of_word_11
0,num_of_word_12
0,num_of_word_14
0,num_of_word_15
0,num_of_word_16
0,num_of_word_17
0,num_of_word_18
0,num_of_word_19
0,num_of_word_20
0,num_of_word_21
0,1stchar_of_word_12
